,Location,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale
659568,Japan,1950,0-4,0,5718.4890000000005,5486.968000000001
659569,Japan,1950,5-9,5,4786.609,4661.698
659570,Japan,1950,10-14,10,4365.379,4268.963
659571,Japan,1950,15-19,15,4273.245,4210.7570000000005
659572,Japan,1950,20-24,20,3835.816,3889.7270000000003
659573,Japan,1950,25-29,25,2821.8979999999997,3363.222
659574,Japan,1950,30-34,30,2360.21,2841.9970000000003
659575,Japan,1950,35-39,35,2376.106,2671.968
659576,Japan,1950,40-44,40,2198.955,2284.0229999999997
659577,Japan,1950,45-49,45,1994.421,1964.693
659578,Japan,1950,50-54,50,1700.1629999999998,1653.97
659579,Japan,1950,55-59,55,1365.415,1363.251
659580,Japan,1950,60-64,60,1095.616,1182.1019999999999
659581,Japan,1950,65-69,65,788.987,968.877
659582,Japan,1950,70-74,70,535.76,735.573
659583,Japan,1950,75-79,75,263.431,411.43800000000005
659584,Japan,1950,80-84,80,93.96700000000001,175.731
659585,Japan,1950,85-89,85,23.773000000000003,53.205
659586,Japan,1950,90-94,90,3.838,10.19
659587,Japan,1950,95-99,95,0.387,1.149
659588,Japan,1950,100+,100,0.034,0.083
659589,Japan,1951,0-4,0,5728.911999999999,5479.8009999999995
659590,Japan,1951,5-9,5,4931.428,4792.843
659591,Japan,1951,10-14,10,4410.103,4309.428
659592,Japan,1951,15-19,15,4296.542,4226.37
659593,Japan,1951,20-24,20,3970.135,3966.2309999999998
659594,Japan,1951,25-29,25,2994.92,3467.5190000000002
659595,Japan,1951,30-34,30,2395.261,2909.208
659596,Japan,1951,35-39,35,2367.804,2705.3259999999996
659597,Japan,1951,40-44,40,2228.366,2351.863
659598,Japan,1951,45-49,45,2024.9579999999999,2013.6370000000002
659599,Japan,1951,50-54,50,1742.4029999999998,1700.361
659600,Japan,1951,55-59,55,1399.721,1393.5829999999999
659601,Japan,1951,60-64,60,1115.665,1191.955
659602,Japan,1951,65-69,65,806.9889999999999,978.1260000000001
659603,Japan,1951,70-74,70,547.362,748.452
659604,Japan,1951,75-79,75,283.033,436.61300000000006
659605,Japan,1951,80-84,80,104.383,190.41299999999998
659606,Japan,1951,85-89,85,27.398000000000003,60.193999999999996
659607,Japan,1951,90-94,90,4.658,12.288
659608,Japan,1951,95-99,95,0.484,1.415
659609,Japan,1951,100+,100,0.031,0.083
659610,Japan,1952,0-4,0,5543.762,5292.71
659611,Japan,1952,5-9,5,5119.559,4961.193
659612,Japan,1952,10-14,10,4477.351,4372.427
659613,Japan,1952,15-19,15,4313.089,4234.623
659614,Japan,1952,20-24,20,4076.995,4042.361
659615,Japan,1952,25-29,25,3204.663,3574.5570000000002
659616,Japan,1952,30-34,30,2454.507,3002.8179999999998
659617,Japan,1952,35-39,35,2349.529,2725.1209999999996
659618,Japan,1952,40-44,40,2266.71,2432.17
659619,Japan,1952,45-49,45,2055.238,2065.116
659620,Japan,1952,50-54,50,1787.547,1750.723
659621,Japan,1952,55-59,55,1442.997,1434.3329999999999
659622,Japan,1952,60-64,60,1136.515,1203.896
659623,Japan,1952,65-69,65,831.3789999999999,992.9810000000001
659624,Japan,1952,70-74,70,555.467,757.919
659625,Japan,1952,75-79,75,302.48,463.319
659626,Japan,1952,80-84,80,113.419,203.683
659627,Japan,1952,85-89,85,30.205,65.79
659628,Japan,1952,90-94,90,5.502000000000001,14.097000000000001
659629,Japan,1952,95-99,95,0.67,1.905
659630,Japan,1952,100+,100,0.027999999999999997,0.084
659631,Japan,1953,0-4,0,5321.03,5074.268
659632,Japan,1953,5-9,5,5321.698,5140.206
659633,Japan,1953,10-14,10,4549.902,4442.109
659634,Japan,1953,15-19,15,4316.821,4231.090999999999
659635,Japan,1953,20-24,20,4146.734,4102.384
659636,Japan,1953,25-29,25,3420.539,3671.059
659637,Japan,1953,30-34,30,2533.386,3106.6820000000002
659638,Japan,1953,35-39,35,2323.631,2734.222
659639,Japan,1953,40-44,40,2299.675,2509.487
659640,Japan,1953,45-49,45,2079.79,2114.813
659641,Japan,1953,50-54,50,1828.494,1799.246
659642,Japan,1953,55-59,55,1488.125,1478.6429999999998
659643,Japan,1953,60-64,60,1156.88,1216.507
659644,Japan,1953,65-69,65,857.461,1009.148
659645,Japan,1953,70-74,70,561.5840000000001,764.817
659646,Japan,1953,75-79,75,318.923,488.094
659647,Japan,1953,80-84,80,120.626,215.358
659648,Japan,1953,85-89,85,32.068000000000005,69.654
659649,Japan,1953,90-94,90,6.162000000000001,15.469000000000001
659650,Japan,1953,95-99,95,0.8059999999999999,2.274
659651,Japan,1953,100+,100,0.027000000000000003,0.086
659652,Japan,1954,0-4,0,5101.222,4862.19
659653,Japan,1954,5-9,5,5498.665,5294.514
659654,Japan,1954,10-14,10,4637.08,4525.339
659655,Japan,1954,15-19,15,4320.762,4229.9490000000005
659656,Japan,1954,20-24,20,4189.23,4142.127
659657,Japan,1954,25-29,25,3612.781,3755.301
659658,Japan,1954,30-34,30,2636.7670000000003,3209.2529999999997
659659,Japan,1954,35-39,35,2306.925,2751.1540000000005
659660,Japan,1954,40-44,40,2317.4410000000003,2571.718
659661,Japan,1954,45-49,45,2101.705,2166.175
659662,Japan,1954,50-54,50,1864.305,1845.694
659663,Japan,1954,55-59,55,1532.076,1523.078
659664,Japan,1954,60-64,60,1180.605,1233.497
659665,Japan,1954,65-69,65,882.296,1024.6689999999999
659666,Japan,1954,70-74,70,569.712,772.7869999999999
659667,Japan,1954,75-79,75,330.336,508.05199999999996
659668,Japan,1954,80-84,80,126.41,226.47
659669,Japan,1954,85-89,85,33.015,72.26899999999999
659670,Japan,1954,90-94,90,6.186,15.716
659671,Japan,1954,95-99,95,0.764,2.226
659672,Japan,1954,100+,100,0.025,0.08800000000000001
659673,Japan,1955,0-4,0,4887.133,4657.518
659674,Japan,1955,5-9,5,5598.630999999999,5377.557
659675,Japan,1955,10-14,10,4758.799,4638.483
659676,Japan,1955,15-19,15,4339.405,4245.7390000000005
659677,Japan,1955,20-24,20,4217.821,4165.24
659678,Japan,1955,25-29,25,3767.768,3830.76
659679,Japan,1955,30-34,30,2769.1,3306.7529999999997
659680,Japan,1955,35-39,35,2313.407,2790.415
659681,Japan,1955,40-44,40,2318.2470000000003,2615.456
659682,Japan,1955,45-49,45,2125.4,2223.361
659683,Japan,1955,50-54,50,1896.914,1892.235
659684,Japan,1955,55-59,55,1574.996,1567.434
659685,Japan,1955,60-64,60,1211.192,1258.322
659686,Japan,1955,65-69,65,905.702,1039.849
659687,Japan,1955,70-74,70,582.627,784.5189999999999
659688,Japan,1955,75-79,75,337.089,523.043
659689,Japan,1955,80-84,80,131.203,238.112
659690,Japan,1955,85-89,85,32.813,73.817
659691,Japan,1955,90-94,90,5.066,14.267999999999999
659692,Japan,1955,95-99,95,0.436,1.508
659693,Japan,1955,100+,100,0.025,0.092
659694,Japan,1956,0-4,0,4543.437,4328.85
659695,Japan,1956,5-9,5,5634.709,5399.605
659696,Japan,1956,10-14,10,4935.143,4797.899
659697,Japan,1956,15-19,15,4384.662,4288.366
659698,Japan,1956,20-24,20,4248.492,4188.292
659699,Japan,1956,25-29,25,3908.002,3914.591
659700,Japan,1956,30-34,30,2943.5679999999998,3415.719
659701,Japan,1956,35-39,35,2351.2929999999997,2861.6540000000005
659702,Japan,1956,40-44,40,2313.7960000000003,2652.986
659703,Japan,1956,45-49,45,2157.339,2293.528
659704,Japan,1956,50-54,50,1928.695,1943.485
659705,Japan,1956,55-59,55,1616.2720000000002,1614.941
659706,Japan,1956,60-64,60,1244.57,1289.8419999999999
659707,Japan,1956,65-69,65,924.905,1051.5430000000001
659708,Japan,1956,70-74,70,599.9830000000001,795.57
659709,Japan,1956,75-79,75,346.94199999999995,534.9209999999999
659710,Japan,1956,80-84,80,144.689,257.759
659711,Japan,1956,85-89,85,38.49,83.57600000000001
659712,Japan,1956,90-94,90,6.195,17.253
659713,Japan,1956,95-99,95,0.58,1.916
659714,Japan,1956,100+,100,0.025,0.09699999999999999
659715,Japan,1957,0-4,0,4338.95,4134.054
659716,Japan,1957,5-9,5,5545.977,5305.918000000001
659717,Japan,1957,10-14,10,5135.054,4977.1320000000005
659718,Japan,1957,15-19,15,4430.78,4333.749
659719,Japan,1957,20-24,20,4255.055,4188.144
659720,Japan,1957,25-29,25,4005.909,3983.8779999999997
659721,Japan,1957,30-34,30,3143.449,3515.664
659722,Japan,1957,35-39,35,2404.197,2948.945
659723,Japan,1957,40-44,40,2291.319,2668.285
659724,Japan,1957,45-49,45,2190.422,2368.189
659725,Japan,1957,50-54,50,1953.6770000000001,1990.596
659726,Japan,1957,55-59,55,1654.8629999999998,1661.09
659727,Japan,1957,60-64,60,1281.248,1326.8529999999998
659728,Japan,1957,65-69,65,941.352,1062.04
659729,Japan,1957,70-74,70,619.01,808.3739999999999
659730,Japan,1957,75-79,75,352.05300000000005,541.91
659731,Japan,1957,80-84,80,156.067,275.686
659732,Japan,1957,85-89,85,42.653999999999996,90.759
659733,Japan,1957,90-94,90,7.263999999999999,19.641
659734,Japan,1957,95-99,95,0.847,2.63
659735,Japan,1957,100+,100,0.026000000000000002,0.102
659736,Japan,1958,0-4,0,4224.312,4025.1820000000002
659737,Japan,1958,5-9,5,5342.4,5105.697
659738,Japan,1958,10-14,10,5342.772,5162.147
659739,Japan,1958,15-19,15,4494.451,4395.849
659740,Japan,1958,20-24,20,4253.729,4180.604
659741,Japan,1958,25-29,25,4071.825,4041.38
659742,Japan,1958,30-34,30,3354.014,3609.775
659743,Japan,1958,35-39,35,2479.856,3050.018
659744,Japan,1958,40-44,40,2265.154,2676.716
659745,Japan,1958,45-49,45,2221.92,2443.28
659746,Japan,1958,50-54,50,1976.723,2038.5710000000001
659747,Japan,1958,55-59,55,1692.7220000000002,1707.953
659748,Japan,1958,60-64,60,1321.4279999999999,1369.089
659749,Japan,1958,65-69,65,959.357,1075.443
659750,Japan,1958,70-74,70,639.38,823.53
659751,Japan,1958,75-79,75,355.54699999999997,547.759
659752,Japan,1958,80-84,80,163.91099999999997,290.42900000000003
659753,Japan,1958,85-89,85,45.24,95.52600000000001
659754,Japan,1958,90-94,90,8.152999999999999,21.449
659755,Japan,1958,95-99,95,1.045,3.167
659756,Japan,1958,100+,100,0.027000000000000003,0.107
659757,Japan,1959,0-4,0,4152.722,3957.2529999999997
659758,Japan,1959,5-9,5,5075.682,4847.4220000000005
659759,Japan,1959,10-14,10,5507.071999999999,5306.2
659760,Japan,1959,15-19,15,4593.192,4489.117
659761,Japan,1959,20-24,20,4261.487,4183.663
659762,Japan,1959,25-29,25,4119.125,4086.4990000000003
659763,Japan,1959,30-34,30,3549.656,3699.7009999999996
659764,Japan,1959,35-39,35,2585.687,3156.638
659765,Japan,1959,40-44,40,2253.4610000000002,2698.718
659766,Japan,1959,45-49,45,2244.23,2509.384
659767,Japan,1959,50-54,50,2002.5970000000002,2092.7729999999997
659768,Japan,1959,55-59,55,1730.5629999999999,1756.866
659769,Japan,1959,60-64,60,1364.069,1414.865
659770,Japan,1959,65-69,65,983.174,1096.086
659771,Japan,1959,70-74,70,659.757,840.454
659772,Japan,1959,75-79,75,360.56199999999995,555.715
659773,Japan,1959,80-84,80,167.21099999999998,300.618
659774,Japan,1959,85-89,85,46.485,99.163
659775,Japan,1959,90-94,90,8.29,21.816999999999997
659776,Japan,1959,95-99,95,1.006,3.1210000000000004
659777,Japan,1959,100+,100,0.027999999999999997,0.113
659778,Japan,1960,0-4,0,4087.7,3895.973
659779,Japan,1960,5-9,5,4826.414000000001,4606.856
659780,Japan,1960,10-14,10,5573.361,5358.985
659781,Japan,1960,15-19,15,4731.814,4617.155
659782,Japan,1960,20-24,20,4287.713,4207.221
659783,Japan,1960,25-29,25,4155.491,4118.049
659784,Japan,1960,30-34,30,3712.3779999999997,3784.422
659785,Japan,1960,35-39,35,2723.386,3261.869
659786,Japan,1960,40-44,40,2266.7889999999998,2745.454
659787,Japan,1960,45-49,45,2252.536,2560.275
659788,Japan,1960,50-54,50,2032.862,2155.156
659789,Japan,1960,55-59,55,1767.911,1807.915
659790,Japan,1960,60-64,60,1408.0520000000001,1462.67
659791,Japan,1960,65-69,65,1014.347,1125.654
659792,Japan,1960,70-74,70,679.7360000000001,858.721
659793,Japan,1960,75-79,75,368.594,567.155
659794,Japan,1960,80-84,80,166.408,306.74
659795,Japan,1960,85-89,85,45.973,101.898
659796,Japan,1960,90-94,90,7.013,20.086
659797,Japan,1960,95-99,95,0.586,2.145
659798,Japan,1960,100+,100,0.028999999999999998,0.12
659799,Japan,1961,0-4,0,4065.845,3877.454
659800,Japan,1961,5-9,5,4619.385,4404.997
659801,Japan,1961,10-14,10,5530.946,5310.784000000001
659802,Japan,1961,15-19,15,4893.983,4769.865
659803,Japan,1961,20-24,20,4326.755,4245.148
659804,Japan,1961,25-29,25,4179.928,4135.934
659805,Japan,1961,30-34,30,3842.848,3861.702
659806,Japan,1961,35-39,35,2889.322,3364.3340000000003
659807,Japan,1961,40-44,40,2299.07,2811.1090000000004
659808,Japan,1961,45-49,45,2243.575,2592.6079999999997
659809,Japan,1961,50-54,50,2059.958,2220.486
659810,Japan,1961,55-59,55,1794.408,1854.6429999999998
659811,Japan,1961,60-64,60,1442.96,1505.1789999999999
659812,Japan,1961,65-69,65,1042.147,1153.447
659813,Japan,1961,70-74,70,695.562,868.828
659814,Japan,1961,75-79,75,383.404,577.327
659815,Japan,1961,80-84,80,174.479,317.193
659816,Japan,1961,85-89,85,53.355,114.98899999999999
659817,Japan,1961,90-94,90,8.815,24.311999999999998
659818,Japan,1961,95-99,95,0.78,2.693
659819,Japan,1961,100+,100,0.03,0.127
659820,Japan,1962,0-4,0,4070.045,3881.323
659821,Japan,1962,5-9,5,4433.492,4226.067
659822,Japan,1962,10-14,10,5397.899,5176.167
659823,Japan,1962,15-19,15,5096.9890000000005,4958.129
659824,Japan,1962,20-24,20,4372.744000000001,4293.849
659825,Japan,1962,25-29,25,4190.879,4140.12
659826,Japan,1962,30-34,30,3940.8390000000004,3933.3190000000004
659827,Japan,1962,35-39,35,3087.1409999999996,3465.5890000000004
659828,Japan,1962,40-44,40,2351.491,2898.955
659829,Japan,1962,45-49,45,2222.687,2609.1639999999998
659830,Japan,1962,50-54,50,2093.496,2295.256
659831,Japan,1962,55-59,55,1819.351,1901.8670000000002
659832,Japan,1962,60-64,60,1479.4370000000001,1550.5810000000001
659833,Japan,1962,65-69,65,1074.805,1189.0339999999999
659834,Japan,1962,70-74,70,710.3589999999999,880.2439999999999
659835,Japan,1962,75-79,75,398.44300000000004,589.0930000000001
659836,Japan,1962,80-84,80,178.9,323.592
659837,Japan,1962,85-89,85,59.025,125.432
659838,Japan,1962,90-94,90,10.350999999999999,27.386999999999997
659839,Japan,1962,95-99,95,1.138,3.6710000000000003
659840,Japan,1962,100+,100,0.032,0.135
659841,Japan,1963,0-4,0,4089.34,3898.329
659842,Japan,1963,5-9,5,4279.164000000001,4080.005
659843,Japan,1963,10-14,10,5200.54,4979.692
659844,Japan,1963,15-19,15,5304.226,5146.8009999999995
659845,Japan,1963,20-24,20,4435.751,4361.411
659846,Japan,1963,25-29,25,4198.549,4140.842000000001
659847,Japan,1963,30-34,30,4012.3179999999998,3997.406
659848,Japan,1963,35-39,35,3299.32,3564.8109999999997
659849,Japan,1963,40-44,40,2428.99,3003.488
659850,Japan,1963,45-49,45,2200.8920000000003,2621.949
659851,Japan,1963,50-54,50,2128.137,2372.763
659852,Japan,1963,55-59,55,1845.22,1952.1589999999999
659853,Japan,1963,60-64,60,1517.5120000000002,1598.987
659854,Japan,1963,65-69,65,1111.753,1231.022
659855,Japan,1963,70-74,70,727.0880000000001,895.865
659856,Japan,1963,75-79,75,413.05300000000005,602.832
659857,Japan,1963,80-84,80,180.81099999999998,327.716
659858,Japan,1963,85-89,85,61.876000000000005,131.63
659859,Japan,1963,90-94,90,11.57,29.604
659860,Japan,1963,95-99,95,1.409,4.415
659861,Japan,1963,100+,100,0.033,0.14300000000000002
659862,Japan,1964,0-4,0,4126.815,3932.5490000000004
659863,Japan,1964,5-9,5,4156.384,3965.647
659864,Japan,1964,10-14,10,4985.267,4765.9
659865,Japan,1964,15-19,15,5455.975,5280.221
659866,Japan,1964,20-24,20,4530.54,4458.404
659867,Japan,1964,25-29,25,4214.840999999999,4151.967000000001
659868,Japan,1964,30-34,30,4067.3579999999997,4049.987
659869,Japan,1964,35-39,35,3498.323,3660.6290000000004
659870,Japan,1964,40-44,40,2537.3070000000002,3114.288
659871,Japan,1964,45-49,45,2194.0170000000003,2648.796
659872,Japan,1964,50-54,50,2154.7110000000002,2441.843
659873,Japan,1964,55-59,55,1875.049,2009.085
659874,Japan,1964,60-64,60,1556.611,1650.191
659875,Japan,1964,65-69,65,1151.751,1277.265
659876,Japan,1964,70-74,70,748.6289999999999,918.753
659877,Japan,1964,75-79,75,426.35900000000004,617.998
659878,Japan,1964,80-84,80,181.795,331.466
659879,Japan,1964,85-89,85,61.411,133.692
659880,Japan,1964,90-94,90,11.745,29.914
659881,Japan,1964,95-99,95,1.379,4.352
659882,Japan,1964,100+,100,0.035,0.153
659883,Japan,1965,0-4,0,4186.249,3987.632
659884,Japan,1965,5-9,5,4057.9829999999997,3874.388
659885,Japan,1965,10-14,10,4787.701,4570.004
659886,Japan,1965,15-19,15,5515.505,5324.664000000001
659887,Japan,1965,20-24,20,4664.487,4588.628
659888,Japan,1965,25-29,25,4247.323,4182.734
659889,Japan,1965,30-34,30,4113.438,4089.677
659890,Japan,1965,35-39,35,3666.715,3751.991
659891,Japan,1965,40-44,40,2678.533,3224.586
659892,Japan,1965,45-49,45,2212.4539999999997,2700.593
659893,Japan,1965,50-54,50,2168.585,2496.501
659894,Japan,1965,55-59,55,1910.3020000000001,2074.508
659895,Japan,1965,60-64,60,1596.4579999999999,1704.124
659896,Japan,1965,65-69,65,1194.211,1326.612
659897,Japan,1965,70-74,70,776.33,950.275
659898,Japan,1965,75-79,75,438.798,634.68
659899,Japan,1965,80-84,80,182.889,336.42400000000004
659900,Japan,1965,85-89,85,57.434,131.843
659901,Japan,1965,90-94,90,10.001,27.694000000000003
659902,Japan,1965,95-99,95,0.847,3.0039999999999996
659903,Japan,1965,100+,100,0.038,0.16399999999999998
659904,Japan,1966,0-4,0,4322.148,4110.979
659905,Japan,1966,5-9,5,3999.513,3817.7790000000005
659906,Japan,1966,10-14,10,4597.27,4386.103
659907,Japan,1966,15-19,15,5477.255,5276.633000000001
659908,Japan,1966,20-24,20,4834.65,4745.962
659909,Japan,1966,25-29,25,4290.219,4226.322
659910,Japan,1966,30-34,30,4144.318,4113.441
659911,Japan,1966,35-39,35,3797.7709999999997,3832.618
659912,Japan,1966,40-44,40,2844.364,3329.526
659913,Japan,1966,45-49,45,2247.255,2769.163
659914,Japan,1966,50-54,50,2162.79,2531.8920000000003
659915,Japan,1966,55-59,55,1939.473,2141.149
659916,Japan,1966,60-64,60,1623.87,1751.1889999999999
659917,Japan,1966,65-69,65,1227.683,1368.277
659918,Japan,1966,70-74,70,802.1189999999999,977.232
659919,Japan,1966,75-79,75,455.092,647.57
659920,Japan,1966,80-84,80,196.976,350.269
659921,Japan,1966,85-89,85,63.376999999999995,142.10399999999998
659922,Japan,1966,90-94,90,12.538,34.056999999999995
659923,Japan,1966,95-99,95,1.143,3.7689999999999997
659924,Japan,1966,100+,100,0.040999999999999995,0.17600000000000002
659925,Japan,1967,0-4,0,4402.130999999999,4185.48
659926,Japan,1967,5-9,5,4000.797,3815.1079999999997
659927,Japan,1967,10-14,10,4432.45,4227.312
659928,Japan,1967,15-19,15,5352.982,5145.857
659929,Japan,1967,20-24,20,5052.685,4943.077
659930,Japan,1967,25-29,25,4346.597,4285.842000000001
659931,Japan,1967,30-34,30,4169.463,4128.793
659932,Japan,1967,35-39,35,3904.532,3913.111
659933,Japan,1967,40-44,40,3045.928,3437.413
659934,Japan,1967,45-49,45,2305.427,2863.0370000000003
659935,Japan,1967,50-54,50,2149.499,2555.343
659936,Japan,1967,55-59,55,1978.569,2220.216
659937,Japan,1967,60-64,60,1653.235,1801.6970000000001
659938,Japan,1967,65-69,65,1264.932,1415.386
659939,Japan,1967,70-74,70,832.513,1012.449
